Jogador,Time,#,Nação,Pos.,Idade,Min.,Gols,Assis.,PB,PT,TC,CaG,CrtsA,CrtV,Contatos,Div,Crts,Bloqueios,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Conduções,PrgC,Tent,Suc,Data
Lucas Piton,Vasco da Gama,6,BRA,LB,24-019,90.0,0,0,0,0,0,0,0,0,56.0,2.0,1,0.0,0.0,0.0,0.0,2.0,0.0,42.0,48.0,"87,5",5.0,29.0,3.0,0.0,0.0,2024-10-28
Maicon,Vasco da Gama,4,BRA,CB,36-044,90.0,0,0,0,0,1,0,1,0,56.0,6.0,0,2.0,0.0,0.0,0.0,0.0,0.0,37.0,43.0,"86,0",3.0,31.0,0.0,0.0,0.0,2024-10-28
João Victor,Vasco da Gama,38,BRA,CB,26-103,90.0,0,0,0,0,0,0,0,0,72.0,4.0,1,0.0,0.0,0.0,0.0,1.0,0.0,52.0,61.0,"85,2",4.0,44.0,2.0,0.0,0.0,2024-10-28
Paulo Henrique,Vasco da Gama,96,BRA,RB,28-095,90.0,0,0,0,0,1,0,0,0,65.0,3.0,2,0.0,0.0,0.0,0.0,1.0,0.0,46.0,55.0,"83,6",1.0,28.0,1.0,2.0,2.0,2024-10-28
Léo Jardim,Vasco da Gama,1,BRA,GK,29-222,90.0,0,0,0,0,0,0,0,0,32.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,19.0,29.0,"65,5",0.0,18.0,0.0,0.0,0.0,2024-10-28
Thaciano,Bahia,16,BRA,"DM,FW",29-169,90.0,0,0,0,0,2,1,1,0,39.0,2.0,1,1.0,0.6,0.6,0.0,4.0,1.0,26.0,29.0,"89,7",2.0,25.0,1.0,4.0,2.0,2024-10-28
Everaldo Stum,Bahia,9,BRA,FW,33-115,37.0,0,0,0,0,2,1,0,0,14.0,0.0,0,0.0,0.1,0.1,0.0,0.0,0.0,7.0,11.0,"63,6",2.0,7.0,2.0,0.0,0.0,2024-10-28
Ademir Santos,Bahia,7,BRA,RW,29-255,53.0,1,1,0,0,2,1,0,0,29.0,0.0,1,0.0,0.6,0.6,0.1,2.0,1.0,14.0,18.0,"77,8",2.0,19.0,2.0,6.0,3.0,2024-10-28
Cauly Oliveira Souza,Bahia,8,BRA,"AM,LW",29-043,45.0,0,0,0,0,0,0,0,0,24.0,0.0,0,0.0,0.0,0.0,0.2,2.0,0.0,17.0,20.0,"85,0",4.0,15.0,0.0,2.0,0.0,2024-10-28
Rafael Ratão,Bahia,21,BRA,LW,28-333,45.0,0,0,0,0,2,1,0,0,15.0,1.0,0,0.0,0.8,0.8,0.0,1.0,0.0,7.0,9.0,"77,8",2.0,14.0,0.0,1.0,0.0,2024-10-28
Jean Lucas,Bahia,6,BRA,LM,26-128,37.0,0,0,0,0,0,0,0,0,23.0,2.0,1,0.0,0.0,0.0,0.0,1.0,0.0,15.0,18.0,"83,3",4.0,12.0,1.0,0.0,0.0,2024-10-28
Luciano Rodríguez,Bahia,17,URU,FW,21-104,53.0,1,0,0,0,1,1,0,0,33.0,1.0,1,1.0,0.1,0.1,0.1,3.0,0.0,10.0,18.0,"55,6",1.0,27.0,2.0,6.0,0.0,2024-10-28
Everton Ribeiro,Bahia,10,BRA,"AM,RM",35-201,90.0,0,0,0,0,2,2,0,0,68.0,2.0,1,0.0,0.1,0.1,0.5,3.0,1.0,51.0,59.0,"86,4",10.0,47.0,1.0,2.0,0.0,2024-10-28
Caio Alexandre,Bahia,19,BRA,DM,25-247,45.0,0,0,0,0,0,0,0,0,46.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,39.0,41.0,"95,1",2.0,29.0,1.0,1.0,0.0,2024-10-28
Nicolás Acevedo,Bahia,26,URU,DM,25-197,45.0,0,0,0,0,1,0,0,0,42.0,5.0,0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,34.0,"82,4",5.0,26.0,1.0,2.0,2.0,2024-10-28
Luciano Juba,Bahia,46,BRA,LB,25-060,75.0,0,0,0,0,0,0,0,0,64.0,2.0,1,1.0,0.0,0.0,0.0,1.0,0.0,42.0,54.0,"77,8",7.0,34.0,2.0,0.0,0.0,2024-10-28
Iago,Bahia,25,BRA,LB,27-219,15.0,0,0,0,0,0,0,0,0,17.0,1.0,0,1.0,0.0,0.0,0.1,1.0,0.0,10.0,14.0,"71,4",1.0,9.0,1.0,2.0,0.0,2024-10-28
Kanu,Bahia,4,BRA,CB,27-235,90.0,0,0,0,0,0,0,0,0,66.0,2.0,0,1.0,0.0,0.0,0.0,1.0,0.0,53.0,58.0,"91,4",4.0,44.0,0.0,1.0,0.0,2024-10-28
Gabriel,Bahia,3,BRA,CB,23-175,90.0,0,0,0,0,0,0,1,0,67.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,61.0,"82,0",2.0,42.0,1.0,0.0,0.0,2024-10-28
Santiago Arias,Bahia,13,COL,RB,32-289,90.0,0,0,0,0,0,0,0,0,65.0,3.0,2,0.0,0.0,0.0,0.0,2.0,0.0,49.0,61.0,"80,3",6.0,35.0,2.0,0.0,0.0,2024-10-28
Marcos Felipe,Bahia,22,BRA,GK,28-198,90.0,0,0,0,0,0,0,0,0,31.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,24.0,"87,5",0.0,19.0,0.0,0.0,0.0,2024-10-28
Rafael Borré,Internacional,19,COL,FW,29-045,90.0,0,0,0,0,2,0,0,0,33.0,1.0,0,2.0,0.6,0.6,0.0,2.0,0.0,13.0,20.0,"65,0",1.0,16.0,1.0,3.0,2.0,2024-10-30
Wesley,Internacional,21,BRA,LW,25-214,63.0,0,0,0,0,1,0,0,0,32.0,1.0,1,3.0,0.0,0.0,0.2,3.0,0.0,16.0,20.0,"80,0",1.0,22.0,1.0,4.0,2.0,2024-10-30
Wanderson,Internacional,11,BRA,LW,30-023,27.0,0,1,0,0,0,0,0,0,20.0,0.0,0,0.0,0.0,0.0,0.3,3.0,1.0,12.0,16.0,"75,0",2.0,15.0,3.0,2.0,1.0,2024-10-30
Bruno Tabata,Internacional,17,BRA,RW,27-214,62.0,0,0,0,0,2,0,0,0,31.0,0.0,2,1.0,0.1,0.1,0.0,1.0,0.0,11.0,16.0,"68,8",2.0,17.0,0.0,2.0,0.0,2024-10-30
Gabriel Carvalho,Internacional,34,BRA,RW,17-074,28.0,0,0,0,0,2,0,0,0,23.0,0.0,0,0.0,0.1,0.1,0.0,4.0,0.0,16.0,18.0,"88,9",7.0,14.0,0.0,0.0,0.0,2024-10-30
Alan Patrick,Internacional,10,BRA,AM,33-170,90.0,0,0,0,0,3,1,0,0,62.0,2.0,0,1.0,0.3,0.3,0.2,10.0,1.0,41.0,51.0,"80,4",10.0,34.0,1.0,5.0,2.0,2024-10-30
Thiago Maia,Internacional,29,BRA,DM,27-221,72.0,0,0,0,0,0,0,0,0,35.0,1.0,2,1.0,0.0,0.0,0.6,3.0,0.0,28.0,32.0,"87,5",0.0,12.0,0.0,0.0,0.0,2024-10-30
Enner Valencia,Internacional,13,ECU,DM,34-361,18.0,1,0,0,0,3,2,0,0,10.0,0.0,0,0.0,0.4,0.4,0.0,1.0,0.0,5.0,6.0,"83,3",1.0,7.0,3.0,2.0,1.0,2024-10-30
Romulo,Internacional,40,BRA,DM,24-243,79.0,0,0,0,0,1,0,0,0,43.0,4.0,1,2.0,0.0,0.0,0.0,1.0,0.0,26.0,31.0,"83,9",3.0,20.0,0.0,0.0,0.0,2024-10-30
Bruno Henrique,Internacional,8,BRA,DM,35-009,11.0,0,0,0,0,0,0,0,0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,"71,4",1.0,4.0,0.0,1.0,0.0,2024-10-30
Alexandro Bernabei,Internacional,26,ARG,LB,24-036,90.0,0,0,0,0,1,0,0,0,73.0,3.0,2,3.0,0.0,0.0,0.0,0.0,0.0,44.0,56.0,"78,6",6.0,41.0,3.0,3.0,0.0,2024-10-30
Vitão,Internacional,44,BRA,CB,24-271,90.0,0,0,0,0,1,0,0,0,48.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,41.0,"92,7",1.0,32.0,0.0,0.0,0.0,2024-10-30
Agustín Rogel,Internacional,18,URU,CB,27-013,45.0,0,0,0,0,0,0,1,0,21.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,20.0,"100,0",2.0,17.0,0.0,0.0,0.0,2024-10-30
Clayton,Internacional,20,BRA,CB,24-209,45.0,0,0,0,0,0,0,0,0,32.0,1.0,1,1.0,0.0,0.0,0.0,3.0,0.0,25.0,28.0,"89,3",0.0,15.0,0.0,0.0,0.0,2024-10-30
Bruno Gomes,Internacional,15,BRA,RB,23-209,90.0,0,0,0,0,2,1,0,0,65.0,3.0,0,1.0,0.0,0.0,0.0,2.0,0.0,44.0,55.0,"80,0",5.0,35.0,5.0,2.0,0.0,2024-10-30
Sergio Rochet,Internacional,1,URU,GK,31-221,90.0,0,0,0,0,0,0,0,0,28.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,26.0,"73,1",0.0,11.0,0.0,0.0,0.0,2024-10-30
Carlos Alcaraz,Flamengo,37,ARG,"LW,AM",21-335,85.0,1,0,1,1,1,0,0,0,53.0,2.0,1,2.0,1.1,0.3,0.1,4.0,0.0,24.0,34.0,"70,6",2.0,21.0,1.0,3.0,2.0,2024-10-30
Matheus Gonçalves,Flamengo,20,BRA,RW,19-073,5.0,0,0,0,0,0,0,0,0,8.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,"80,0",2.0,6.0,1.0,2.0,1.0,2024-10-30
Gonzalo Plata,Flamengo,45,ECU,RW,23-364,67.0,0,0,0,0,1,0,0,0,38.0,1.0,1,0.0,0.0,0.0,0.1,1.0,0.0,20.0,24.0,"83,3",2.0,21.0,2.0,5.0,2.0,2024-10-30
Michael,Flamengo,30,BRA,LW,28-232,23.0,0,0,0,0,0,0,0,0,6.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,"50,0",0.0,3.0,1.0,1.0,1.0,2024-10-30
Gerson,Flamengo,8,BRA,"AM,RW",27-163,90.0,0,0,0,0,3,0,1,0,46.0,4.0,0,1.0,0.2,0.2,0.0,5.0,1.0,30.0,35.0,"85,7",3.0,28.0,3.0,2.0,2.0,2024-10-30
Evertton,Flamengo,52,BRA,DM,21-245,90.0,0,0,0,0,0,0,0,0,51.0,2.0,0,0.0,0.0,0.0,0.0,2.0,0.0,41.0,47.0,"87,2",1.0,23.0,0.0,1.0,1.0,2024-10-30
Erick Pulgar,Flamengo,5,CHI,DM,30-289,90.0,0,0,0,0,1,1,1,0,67.0,3.0,0,1.0,0.0,0.0,0.0,2.0,0.0,48.0,58.0,"82,8",3.0,33.0,1.0,0.0,0.0,2024-10-30
Ayrton Lucas,Flamengo,6,BRA,LB,27-133,90.0,0,0,0,0,0,0,0,0,52.0,2.0,1,1.0,0.0,0.0,0.0,1.0,0.0,37.0,43.0,"86,0",4.0,27.0,3.0,0.0,0.0,2024-10-30
Leo Ortiz,Flamengo,3,BRA,CB,28-301,90.0,0,0,0,0,1,0,0,0,77.0,3.0,0,0.0,0.0,0.0,0.0,1.0,0.0,58.0,67.0,"86,6",4.0,28.0,0.0,0.0,0.0,2024-10-30
Fabrício Bruno,Flamengo,15,BRA,CB,28-261,90.0,0,0,0,0,0,0,1,0,74.0,2.0,0,1.0,0.0,0.0,0.0,0.0,0.0,58.0,65.0,"89,2",3.0,40.0,1.0,0.0,0.0,2024-10-30
Guillermo Varela,Flamengo,2,URU,RB,31-220,90.0,0,0,0,0,1,0,1,0,63.0,4.0,1,3.0,0.0,0.0,0.0,0.0,0.0,40.0,51.0,"78,4",0.0,26.0,0.0,2.0,2.0,2024-10-30
Agustín Rossi,Flamengo,1,ARG,GK,29-070,90.0,0,0,0,0,0,0,0,0,53.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,50.0,"70,0",0.0,25.0,0.0,0.0,0.0,2024-10-30
Eduardo Sasha,Red Bull Bragantino,19,BRA,FW,32-252,81.0,0,0,0,0,4,2,0,0,20.0,0.0,0,2.0,0.3,0.3,0.0,3.0,0.0,9.0,11.0,"81,8",1.0,10.0,0.0,1.0,0.0,2024-11-02
Arthur,Red Bull Bragantino,27,BRA,FW,21-235,9.0,0,0,0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,0.0,2024-11-02
Jhonatan Jowjow,Red Bull Bragantino,6,BRA,LW,22-054,90.0,0,0,0,0,0,0,0,0,52.0,1.0,0,2.0,0.0,0.0,0.4,6.0,0.0,31.0,42.0,"73,8",6.0,35.0,5.0,8.0,5.0,2024-11-02
Vitinho,Red Bull Bragantino,28,BRA,RW,25-215,72.0,0,0,0,0,5,0,0,0,44.0,0.0,0,1.0,0.4,0.4,0.1,5.0,0.0,27.0,37.0,"73,0",6.0,21.0,7.0,0.0,0.0,2024-11-02
Victor Hugo,Red Bull Bragantino,50,BRA,RW,21-098,18.0,0,0,0,0,0,0,0,0,7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,"50,0",0.0,5.0,0.0,2.0,2.0,2024-11-02
Lincoln,Red Bull Bragantino,10,BRA,AM,25-361,59.0,0,0,0,0,0,0,0,0,33.0,0.0,0,0.0,0.0,0.0,0.2,3.0,0.0,22.0,33.0,"66,7",4.0,21.0,3.0,0.0,0.0,2024-11-02
Vinicius Mendonça,Red Bull Bragantino,54,BRA,AM,20-256,31.0,0,0,0,0,2,1,0,0,29.0,2.0,0,0.0,0.1,0.1,0.0,2.0,0.0,17.0,21.0,"81,0",2.0,17.0,2.0,2.0,2.0,2024-11-02
Lucas Evangelista,Red Bull Bragantino,8,BRA,DM,29-180,90.0,0,0,0,0,0,0,0,0,80.0,1.0,1,1.0,0.0,0.0,0.0,3.0,0.0,61.0,69.0,"88,4",11.0,45.0,1.0,1.0,0.0,2024-11-02
Matheus Fernandes,Red Bull Bragantino,35,BRA,DM,26-125,59.0,0,0,0,0,1,0,1,0,59.0,7.0,1,0.0,0.0,0.0,0.0,0.0,0.0,45.0,51.0,"88,2",6.0,26.0,1.0,1.0,1.0,2024-11-02
Gustavinho,Red Bull Bragantino,22,BRA,DM,20-193,31.0,0,0,0,0,2,1,0,0,22.0,2.0,0,0.0,0.1,0.1,0.1,2.0,0.0,13.0,14.0,"92,9",3.0,11.0,0.0,1.0,0.0,2024-11-02
Juninho Capixaba,Red Bull Bragantino,29,BRA,LB,27-119,72.0,0,0,0,0,0,0,0,0,60.0,0.0,2,0.0,0.0,0.0,0.0,3.0,0.0,43.0,52.0,"82,7",4.0,33.0,0.0,2.0,2.0,2024-11-02
Guilherme,Red Bull Bragantino,31,BRA,LB,22-262,18.0,0,0,0,0,0,0,0,0,21.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,15.0,"73,3",2.0,8.0,1.0,1.0,1.0,2024-11-02
Eduardo Santos,Red Bull Bragantino,3,BRA,CB,26-340,90.0,0,0,0,0,2,0,0,0,84.0,2.0,1,2.0,0.1,0.1,0.0,1.0,0.0,65.0,72.0,"90,3",4.0,50.0,2.0,0.0,0.0,2024-11-02
Pedro Henrique,Red Bull Bragantino,14,BRA,CB,29-031,90.0,0,0,0,0,1,0,0,0,96.0,4.0,3,0.0,0.0,0.0,0.0,1.0,0.0,79.0,86.0,"91,9",11.0,54.0,2.0,0.0,0.0,2024-11-02
José Hurtado,Red Bull Bragantino,34,ECU,RB,22-315,90.0,0,0,0,0,1,0,0,0,81.0,1.0,2,0.0,0.0,0.0,0.1,3.0,0.0,55.0,73.0,"75,3",8.0,37.0,5.0,0.0,0.0,2024-11-02
Cleiton Schwengber,Red Bull Bragantino,1,BRA,GK,27-075,90.0,0,0,0,0,0,0,0,0,33.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,29.0,31.0,"93,5",1.0,13.0,0.0,0.0,0.0,2024-11-02
Isidro Pitta,Cuiabá,9,PAR,FW,25-080,89.0,0,0,0,0,2,0,0,0,25.0,0.0,0,0.0,0.1,0.1,0.0,3.0,0.0,13.0,19.0,"68,4",5.0,22.0,3.0,2.0,0.0,2024-11-02
Jadson,Cuiabá,77,BRA,FW,19-084,1.0,0,0,0,0,0,0,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2024-11-02
Gustavo Sauer,Cuiabá,19,BRA,LW,31-186,33.0,0,0,0,0,0,0,0,0,10.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,"57,1",0.0,4.0,0.0,1.0,0.0,2024-11-02
Jonathan Cafu,Cuiabá,7,BRA,LW,33-115,57.0,0,0,0,0,1,0,0,0,30.0,1.0,0,0.0,0.1,0.1,0.0,2.0,0.0,13.0,19.0,"68,4",3.0,19.0,4.0,2.0,0.0,2024-11-02
Derik Lacerda,Cuiabá,22,BRA,RW,25-036,69.0,0,0,0,0,0,0,1,0,23.0,1.0,0,2.0,0.0,0.0,0.1,1.0,0.0,8.0,14.0,"57,1",2.0,14.0,2.0,3.0,2.0,2024-11-02
André Luis,Cuiabá,97,BRA,RW,27-195,21.0,0,0,0,0,1,1,0,0,7.0,0.0,0,1.0,0.1,0.1,0.1,1.0,0.0,4.0,4.0,"100,0",1.0,6.0,0.0,0.0,0.0,2024-11-02
Lucas Fernandes,Cuiabá,18,BRA,AM,27-043,33.0,0,0,0,0,0,0,0,0,13.0,4.0,0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,"60,0",1.0,4.0,0.0,1.0,0.0,2024-11-02
Denilson,Cuiabá,27,BRA,AM,23-224,57.0,0,0,0,0,0,0,0,0,31.0,2.0,0,1.0,0.0,0.0,0.1,2.0,0.0,15.0,23.0,"65,2",1.0,18.0,0.0,2.0,0.0,2024-11-02
Filipe Augusto,Cuiabá,5,BRA,DM,31-082,69.0,0,0,0,0,0,0,0,0,36.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,21.0,26.0,"80,8",0.0,18.0,0.0,0.0,0.0,2024-11-02
Lucas Mineiro,Cuiabá,30,BRA,DM,28-252,21.0,0,0,0,0,0,0,0,0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,"100,0",0.0,4.0,0.0,0.0,0.0,2024-11-02
Fernando Sobral,Cuiabá,88,BRA,DM,29-321,90.0,0,0,0,0,0,0,1,0,44.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,19.0,35.0,"54,3",1.0,29.0,3.0,5.0,3.0,2024-11-02
Ramon,Cuiabá,23,BRA,LB,23-234,90.0,0,0,0,0,2,0,0,0,46.0,1.0,1,1.0,0.1,0.1,0.0,1.0,0.0,28.0,37.0,"75,7",3.0,19.0,1.0,2.0,1.0,2024-11-02
Bruno Fabiano Alves,Cuiabá,34,BRA,CB,33-200,90.0,0,0,0,0,1,0,0,0,36.0,0.0,1,2.0,0.0,0.0,0.0,1.0,0.0,13.0,22.0,"59,1",3.0,12.0,1.0,0.0,0.0,2024-11-02
Marllon Borges,Cuiabá,4,BRA,CB,32-200,90.0,0,0,0,0,0,0,0,0,28.0,2.0,0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,18.0,"72,2",1.0,11.0,0.0,0.0,0.0,2024-11-02
Matheus Alexandre,Cuiabá,2,BRA,RB,25-209,90.0,0,0,0,0,0,0,0,0,42.0,3.0,1,1.0,0.0,0.0,0.0,0.0,0.0,22.0,33.0,"66,7",1.0,15.0,0.0,0.0,0.0,2024-11-02
Walter,Cuiabá,1,BRA,GK,36-350,90.0,0,0,0,0,0,0,1,0,47.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,43.0,"65,1",0.0,18.0,0.0,0.0,0.0,2024-11-02
Gilberto,Juventude,9,BRA,FW,35-150,45.0,0,0,0,0,3,2,0,0,15.0,0.0,0,0.0,0.2,0.2,0.0,2.0,0.0,6.0,10.0,"60,0",0.0,9.0,1.0,0.0,0.0,2024-11-02
Erick,Juventude,7,BRA,"FW,LW",27-304,45.0,0,0,0,0,1,0,0,0,15.0,0.0,1,1.0,0.1,0.1,0.0,1.0,0.0,6.0,10.0,"60,0",1.0,6.0,1.0,1.0,1.0,2024-11-02
Edson Carioca,Juventude,17,BRA,LW,27-121,76.0,0,0,0,0,2,0,1,0,42.0,1.0,1,3.0,0.0,0.0,0.1,5.0,0.0,15.0,25.0,"60,0",3.0,24.0,9.0,4.0,3.0,2024-11-02
Gabriel Taliari,Juventude,19,BRA,FW,27-203,14.0,0,0,0,0,0,0,0,0,7.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,"75,0",0.0,5.0,0.0,0.0,0.0,2024-11-02
Lucas Barbosa,Juventude,21,BRA,RW,23-254,69.0,0,0,0,0,3,1,0,0,30.0,4.0,0,1.0,0.3,0.3,0.1,1.0,0.0,12.0,17.0,"70,6",4.0,16.0,3.0,2.0,0.0,2024-11-02
Marcelinho,Juventude,11,BRA,RW,21-327,21.0,0,0,0,0,0,0,0,0,9.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,7.0,"57,1",0.0,6.0,1.0,1.0,1.0,2024-11-02
Luis Mandaca,Juventude,44,BRA,AM,23-031,58.0,0,0,0,0,2,2,0,0,26.0,1.0,0,1.0,0.2,0.2,0.2,5.0,0.0,10.0,18.0,"55,6",2.0,11.0,1.0,1.0,1.0,2024-11-02
Jean Carlos Vicente,Juventude,20,BRA,AM,32-261,32.0,0,0,0,0,2,1,0,0,22.0,1.0,0,0.0,0.1,0.1,0.2,2.0,0.0,9.0,17.0,"52,9",1.0,9.0,0.0,0.0,0.0,2024-11-02
Ronaldo,Juventude,96,BRA,DM,28-010,84.0,0,0,0,0,1,0,1,0,63.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,53.0,58.0,"91,4",7.0,32.0,1.0,0.0,0.0,2024-11-02
Dudu Vieira,Juventude,30,BRA,DM,30-256,6.0,0,0,0,0,0,0,0,0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,"66,7",1.0,1.0,0.0,0.0,0.0,2024-11-02
Lucas Freitas,Juventude,43,BRA,LB,23-287,58.0,0,0,0,0,0,0,0,0,42.0,0.0,2,2.0,0.0,0.0,0.1,3.0,0.0,29.0,35.0,"82,9",6.0,12.0,0.0,0.0,0.0,2024-11-02
Alan Ruschel,Juventude,28,BRA,LB,35-071,32.0,0,0,0,0,0,0,0,0,30.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,27.0,29.0,"93,1",7.0,20.0,2.0,0.0,0.0,2024-11-02
Zé Marcos,Juventude,3,BRA,CB,26-275,90.0,0,0,0,0,1,0,1,0,65.0,1.0,1,0.0,0.1,0.1,0.0,0.0,0.0,48.0,56.0,"85,7",5.0,34.0,1.0,0.0,0.0,2024-11-02
Danilo Boza,Juventude,4,BRA,CB,26-180,90.0,0,0,0,0,1,0,0,0,65.0,0.0,1,1.0,0.1,0.1,0.0,0.0,0.0,57.0,61.0,"93,4",3.0,38.0,0.0,1.0,1.0,2024-11-02
João Lucas,Juventude,2,BRA,RB,26-238,90.0,0,0,0,0,1,0,0,0,77.0,0.0,1,0.0,0.0,0.0,0.1,3.0,0.0,49.0,71.0,"69,0",7.0,31.0,3.0,3.0,2.0,2024-11-02
Gabriel,Juventude,1,BRA,GK,32-036,90.0,0,0,0,0,0,0,0,0,29.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,27.0,"85,2",0.0,15.0,0.0,0.0,0.0,2024-11-02
Juan Martín Lucero,Fortaleza,9,ARG,FW,32-338,90.0,0,0,0,0,0,0,0,0,14.0,0.0,0,0.0,0.0,0.0,0.1,2.0,1.0,8.0,9.0,"88,9",0.0,8.0,0.0,0.0,0.0,2024-11-02
Moises,Fortaleza,21,BRA,FW,28-061,72.0,1,0,0,0,2,1,0,0,14.0,0.0,0,0.0,0.2,0.2,0.2,3.0,0.0,5.0,9.0,"55,6",0.0,6.0,1.0,0.0,0.0,2024-11-02
Breno,Fortaleza,26,BRA,FW,28-283,18.0,0,0,0,0,0,0,0,0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,"66,7",0.0,4.0,0.0,0.0,0.0,2024-11-02
Eros Mancuso,Fortaleza,33,ARG,"LW,RW",25-199,83.0,1,0,0,0,4,1,0,0,44.0,4.0,1,0.0,0.2,0.2,0.0,2.0,0.0,20.0,29.0,"69,0",2.0,22.0,1.0,1.0,0.0,2024-11-02
Yago Pikachu,Fortaleza,22,BRA,RW,32-150,7.0,0,0,0,0,0,0,0,0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,"66,7",0.0,3.0,0.0,0.0,0.0,2024-11-02
Marinho,Fortaleza,11,BRA,RW,34-157,58.0,0,0,0,0,3,1,0,0,27.0,2.0,0,1.0,0.2,0.2,0.0,2.0,0.0,13.0,20.0,"65,0",2.0,17.0,1.0,0.0,0.0,2024-11-02
Bruno Pacheco,Fortaleza,6,BRA,"LW,RW",32-330,32.0,0,1,0,0,0,0,1,0,15.0,0.0,0,0.0,0.0,0.0,0.3,1.0,1.0,9.0,12.0,"75,0",1.0,4.0,0.0,1.0,1.0,2024-11-02
Leandro Emmanuel Martínez,Fortaleza,8,ARG,CM,30-151,72.0,0,1,0,0,0,0,0,0,34.0,2.0,1,2.0,0.0,0.0,0.1,4.0,2.0,21.0,24.0,"87,5",3.0,17.0,0.0,1.0,0.0,2024-11-02
Tomas Pochettino,Fortaleza,7,ARG,FW,28-275,18.0,0,0,0,0,0,0,0,0,7.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,6.0,"66,7",1.0,4.0,2.0,0.0,0.0,2024-11-02
Hércules,Fortaleza,35,BRA,CM,24-013,90.0,0,0,0,0,1,0,0,0,32.0,2.0,0,2.0,0.0,0.0,0.0,2.0,1.0,18.0,23.0,"78,3",0.0,19.0,0.0,1.0,1.0,2024-11-02
Matheus Rossetto,Fortaleza,16,BRA,DM,28-152,84.0,0,0,0,0,0,0,0,0,33.0,2.0,0,0.0,0.0,0.0,0.0,1.0,1.0,24.0,28.0,"85,7",2.0,19.0,0.0,4.0,3.0,2024-11-02
José Welison,Fortaleza,17,BRA,DM,29-236,6.0,0,0,0,0,0,0,0,0,7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,"85,7",1.0,3.0,0.0,0.0,0.0,2024-11-02
Titi,Fortaleza,4,BRA,CB,36-235,90.0,0,0,0,0,0,0,0,0,45.0,2.0,1,1.0,0.0,0.0,0.0,2.0,0.0,29.0,34.0,"85,3",3.0,20.0,0.0,0.0,0.0,2024-11-02
Benjamín Kuscevic,Fortaleza,13,CHI,CB,28-184,90.0,1,0,0,0,1,1,0,0,36.0,0.0,0,5.0,0.3,0.3,0.0,0.0,0.0,20.0,24.0,"83,3",0.0,17.0,0.0,0.0,0.0,2024-11-02
Emanuel Brítez,Fortaleza,19,ARG,CB,32-221,25.0,0,0,0,0,0,0,1,0,22.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,"61,1",0.0,10.0,0.0,0.0,0.0,2024-11-02
Guilherme Tinga,Fortaleza,2,BRA,CB,31-062,65.0,0,0,0,0,0,0,0,0,55.0,0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,25.0,46.0,"54,3",1.0,23.0,0.0,0.0,0.0,2024-11-02
